Record number,Origin of data,Subject number,Ethnicity,Gender,Age group,Body location,L,a,b
329,1,37,CA,F,,1,61.8962,5.8817,12.9403
330,1,37,CA,F,,11,65.5959,7.5144,12.4049
331,1,37,CA,F,,10,63.2793,5.5022,15.8442
332,1,37,CA,F,,7,66.4222,4.0461,13.8026
333,1,38,CA,F,,6,64.8435,10.6092,13.2908
334,1,38,CA,F,,9,62.7215,9.7971,12.6440
335,1,38,CA,F,,2,69.1588,7.4419,13.8033
336,1,38,CA,F,,5,65.6588,6.7121,13.8529
337,1,38,CA,F,,4,64.3142,11.9549,13.2648
338,1,38,CA,F,,1,68.0495,4.5095,12.1853
339,1,38,CA,F,,11,65.6765,5.2038,10.7879
340,1,38,CA,F,,10,65.1471,4.7277,13.6531
341,1,38,CA,F,,7,67.3798,3.0645,10.8110
342,1,39,CA,F,,6,57.0538,10.2825,17.6449
343,1,39,CA,F,,9,48.5560,9.1054,13.5122
344,1,39,CA,F,,2,63.1481,10.1860,18.9366
345,1,39,CA,F,,5,60.1272,8.2683,15.5011
346,1,39,CA,F,,4,59.9685,9.8261,18.0945
347,1,39,CA,F,,1,62.9982,5.3354,13.4931
348,1,39,CA,F,,11,59.3987,9.3706,14.2769
349,1,39,CA,F,,10,65.2591,3.7378,15.0754
350,1,39,CA,F,,7,64.7307,3.3404,13.0810
351,1,40,CA,M,,6,54.3581,11.3072,17.5215
352,1,40,CA,M,,9,59.1988,10.0703,14.4466
353,1,40,CA,M,,2,61.7692,7.7260,14.2352
354,1,40,CA,M,,5,45.9994,8.3374,12.8603
355,1,40,CA,M,,4,54.9361,10.6552,16.0338
356,1,40,CA,M,,1,58.3032,9.6827,16.6708
357,1,40,CA,M,,11,61.1909,10.3193,14.6006
358,1,40,CA,M,,10,58.6114,7.8232,18.1477
359,1,40,CA,M,,7,61.7324,7.8363,15.7003
360,1,41,CA,M,,6,51.3964,10.8065,16.8744
361,1,41,CA,M,,9,49.6242,10.8800,13.7578
362,1,41,CA,M,,2,53.0162,9.6001,16.7424
363,1,41,CA,M,,5,54.8916,9.5108,16.0304
364,1,41,CA,M,,4,48.9826,10.5975,18.1828
365,1,41,CA,M,,1,58.4799,7.1276,16.0211
366,1,41,CA,M,,11,60.5955,9.8275,15.7734
367,1,41,CA,M,,10,51.0234,5.7217,14.8188
368,1,41,CA,M,,7,59.9433,5.1253,14.2056
369,1,42,CA,M,,6,61.7762,13.0708,12.0278
370,1,42,CA,M,,9,53.7956,13.4776,10.0680
371,1,42,CA,M,,2,63.4346,12.2021,10.7189
372,1,42,CA,M,,5,57.0531,12.8760,9.0530
373,1,42,CA,M,,4,58.0285,14.6329,11.1068
374,1,42,CA,M,,1,64.0956,8.8085,11.7670
375,1,42,CA,M,,11,62.7689,10.4707,11.9044
376,1,42,CA,M,,10,66.7934,5.7878,11.0310
377,1,42,CA,M,,7,73.3175,3.6739,7.6015
378,1,43,CA,F,,6,59.6282,9.0719,14.0972
379,1,43,CA,F,,9,63.8593,8.9064,15.4629
380,1,43,CA,F,,2,66.3877,4.8949,15.4454
381,1,43,CA,F,,5,38.5813,7.2306,14.4883
382,1,43,CA,F,,4,64.3597,8.0474,15.1033
383,1,43,CA,F,,1,63.3385,6.7257,14.1355
384,1,43,CA,F,,11,61.2598,10.0099,14.9795
385,1,43,CA,F,,10,65.8348,3.5059,12.6443
386,1,43,CA,F,,7,67.3096,3.2397,12.0314
387,1,44,CA,M,,6,45.3513,10.3777,16.9253
388,1,44,CA,M,,9,52.5919,11.8812,14.9240
389,1,44,CA,M,,2,46.0002,10.4821,16.9495
390,1,44,CA,M,,5,42.6237,10.0757,15.3852
391,1,44,CA,M,,4,40.3499,7.4765,12.8725
392,1,44,CA,M,,1,45.2765,11.6863,17.0026
393,1,44,CA,M,,11,53.8669,10.8208,12.0488
394,1,44,CA,M,,10,45.6367,10.0201,17.0984
395,1,44,CA,M,,7,49.2473,9.8894,17.2018
396,1,45,CA,M,,6,52.8552,10.4423,17.6376
397,1,45,CA,M,,9,53.7576,10.5296,14.5718
398,1,45,CA,M,,2,53.7390,11.1101,14.2642
399,1,45,CA,M,,5,49.3426,9.3919,11.0910
400,1,45,CA,M,,4,37.2474,4.0019,8.6714
401,1,45,CA,M,,1,50.5571,10.4543,16.8865
402,1,45,CA,M,,11,52.1571,9.0070,13.9726
403,1,45,CA,M,,10,45.2608,8.6672,16.7678
404,1,45,CA,M,,7,45.7478,6.8288,15.7240
405,1,46,CA,M,,6,57.8198,10.2879,15.6707
406,1,46,CA,M,,9,57.4560,11.6537,13.2760
407,1,46,CA,M,,2,57.3149,11.2552,14.0584
408,1,46,CA,M,,5,45.1361,12.8968,10.7361
409,1,46,CA,M,,4,52.2929,9.3231,13.5115
410,1,46,CA,M,,1,56.0487,11.3905,15.5091
411,1,46,CA,M,,11,53.2690,12.8451,13.1242
412,1,46,CA,M,,10,59.0895,4.6758,14.4244
413,1,46,CA,M,,7,59.4847,7.0281,14.6300
414,1,47,CA,M,,6,35.6936,9.8813,10.9305
415,1,47,CA,M,,9,45.0478,11.9471,16.4151
416,1,47,CA,M,,2,36.7049,9.6740,12.7148
417,1,47,CA,M,,5,31.6293,8.6090,10.8111
418,1,47,CA,M,,4,40.4078,10.8569,14.9026
419,1,47,CA,M,,1,37.2692,10.6675,11.8002
420,1,47,CA,M,,11,48.4467,13.7342,11.3770
421,1,47,CA,M,,10,38.7556,10.2333,13.6411
422,1,47,CA,M,,7,39.0676,9.9058,13.8467
423,1,48,CA,F,,6,62.8775,11.2550,16.9224
424,1,48,CA,F,,9,56.4619,9.2973,16.8125
425,1,48,CA,F,,2,61.7850,12.6778,18.3207
426,1,48,CA,F,,5,48.0853,11.1947,10.7800
427,1,48,CA,F,,4,61.9524,12.0733,20.2976
428,1,48,CA,F,,1,67.6535,5.7520,12.2594
429,1,48,CA,F,,11,64.9003,8.3692,14.3904
430,1,48,CA,F,,10,64.5972,6.3834,17.9928
431,1,48,CA,F,,7,68.8287,4.2699,14.5466
432,1,49,CA,M,,6,57.6527,9.8900,16.9803
433,1,49,CA,M,,9,51.7965,11.7455,14.1885
434,1,49,CA,M,,2,57.0650,9.2388,16.5098
435,1,49,CA,M,,5,54.8849,11.7232,13.8558
436,1,49,CA,M,,4,36.0112,4.1254,9.5537
437,1,49,CA,M,,1,51.6181,9.6160,15.5594
